transaction_id,customer_name,customer_email,transaction_date,transaction_time,amount,transaction_type,merchant,location,starting_balance,ending_balance,is_fraud,day_of_week,hour,amount_category
TXN-000001,Allison Hill,donaldgarcia@example.net,2026-07-12,03:48:42,147.93,PURCHASE,Garza Inc,North Jefferyhaven,2422.62,2274.69,0,Sunday,3,Small
TXN-000002,Kristina Baldwin,lrobinson@example.com,2026-07-04,12:39:43,172.03,WITHDRAWAL,Wolfe LLC,Ericmouth,29276.63,29104.600000000002,0,Saturday,12,Small
TXN-000003,James Howard,cassandra07@example.net,2026-04-29,12:33:13,71.23,TRANSFER,Arnold Ltd,Barbaraland,2098.11,2026.88,0,Wednesday,12,Small
TXN-000004,Darren Roberts,wyattmichelle@example.com,2026-05-13,13:46:49,436.69,PAYMENT,"Flowers, Martin and Kelly",Jacquelineland,9425.29,9861.980000000001,0,Wednesday,13,Medium
TXN-000005,Carolyn Daniel,stevennelson@example.net,2026-06-22,01:27:56,56.29,DEPOSIT,Cohen Inc,Port Antonio,6726.7,6782.99,0,Monday,1,Small
TXN-000006,Derek Clark,jason76@example.net,2026-05-31,02:13:21,56.63,PURCHASE,Taylor-Mcgee,Juliechester,1482.38,1425.75,0,Sunday,2,Small
TXN-000007,Jennifer Robinson,williamdavis@example.org,2026-07-09,08:15:22,114.66,PAYMENT,Burton Ltd,Carlsonfurt,169.03,283.69,0,Thursday,8,Small
TXN-000008,Zachary Rice,frazierdanny@example.net,2026-06-28,23:25:24,16.04,PAYMENT,"Peterson, Carter and Moore",Lake Nancyview,1282.5,1298.54,0,Sunday,23,Micro
TXN-000009,Pamela Romero,harrellkenneth@example.net,2026-06-05,00:52:51,32.69,PAYMENT,Hernandez and Sons,New Mariotown,4776.06,4808.75,0,Friday,0,Micro
TXN-000010,Jack Galloway,john39@example.org,2026-04-25,15:53:11,36.31,DEPOSIT,Cabrera-Spence,East Donna,358.36,394.67,0,Saturday,15,Micro
TXN-000011,Carmen Rose,ibrandt@example.net,2026-06-22,15:17:03,389.81,PURCHASE,"Collins, Carney and Santos",Lammouth,2124.59,1734.7800000000002,0,Monday,15,Medium
TXN-000012,Danny Morgan,briannasmith@example.net,2026-06-17,07:34:08,96.31,TRANSFER,Jones Inc,Chadbury,351.73,255.42000000000002,0,Wednesday,7,Small
TXN-000013,John Ryan,esanchez@example.com,2026-05-05,11:31:54,52.23,WITHDRAWAL,Hopkins LLC,Jenkinston,3520.59,3468.36,0,Tuesday,11,Small
TXN-000014,Victoria Garcia,zchandler@example.org,2026-05-11,23:55:44,28.47,TRANSFER,Herrera and Sons,Whitemouth,5237.22,5208.75,0,Monday,23,Micro
TXN-000015,Thomas Ramos,williamsyvette@example.org,2026-04-26,23:19:52,49.37,WITHDRAWAL,Martin Group,Lewisfurt,1924.57,1875.2,0,Sunday,23,Micro
TXN-000016,Carmen Smith,ybaker@example.com,2026-05-14,21:47:33,49.32,DEPOSIT,"Bernard, Cowan and Peters",Mooreport,47974.13,48023.45,0,Thursday,21,Micro
TXN-000017,Anthony Fitzgerald,adkinsbrian@example.net,2026-06-02,09:56:02,88.81,WITHDRAWAL,"Moore, Yu and Miller",North Brooke,609.98,521.1700000000001,0,Tuesday,9,Small
TXN-000018,Cynthia Wilson,bethwilliams@example.org,2026-05-27,02:22:01,204.9,PURCHASE,"Cunningham, Stewart and Green",Johnfurt,477.58,272.67999999999995,0,Wednesday,2,Medium
TXN-000019,Matthew Bryant,smithchristine@example.net,2026-04-26,21:43:12,110.93,PAYMENT,"Lewis, Baker and Mahoney",East Mikeburgh,157.67,268.6,0,Sunday,21,Small
TXN-000020,Joshua Turner,contrerasangela@example.net,2026-04-27,19:46:15,23.85,DEPOSIT,Wilson-Rodriguez,West Juan,4004.97,4028.8199999999997,0,Monday,19,Micro
TXN-000021,Grant Watts,william40@example.org,2026-06-17,00:47:21,188.38,WITHDRAWAL,Williams-Cook,Lake Tina,3854.72,3666.3399999999997,0,Wednesday,0,Small
TXN-000022,Jeremy Thornton,rodriguezsierra@example.net,2026-07-13,18:20:45,80.19,PAYMENT,"Johnson, Wood and Tran",Andersonport,1897.6,1977.79,0,Monday,18,Small
TXN-000023,Timothy Stanton,nolanjason@example.org,2026-06-20,22:46:57,20.52,WITHDRAWAL,Deleon-Henson,Dicksonberg,1012.56,992.04,0,Saturday,22,Micro
TXN-000024,Cynthia Martin,nicolejohnson@example.net,2026-07-15,12:20:51,56.79,PURCHASE,Pham-Shields,West Erik,14554.91,14498.119999999999,0,Wednesday,12,Small
TXN-000025,Janet Williams,dwalker@example.com,2026-05-16,13:00:59,126.93,TRANSFER,Walker Ltd,South Mark,211.76,84.82999999999998,0,Saturday,13,Small
TXN-000026,Tracy Ramirez,ifrazier@example.com,2026-04-19,20:01:55,124.47,PURCHASE,White-Estes,Benjaminchester,1673.0,1548.53,0,Sunday,20,Small
TXN-000027,Richard Graham,cruzbarbara@example.com,2026-04-21,22:53:28,45.74,PURCHASE,Smith-Frost,West Ryan,7461.52,7415.780000000001,0,Tuesday,22,Micro
TXN-000028,Tammie Hanson,cortezkevin@example.com,2026-06-20,15:51:38,252.4,DEPOSIT,Powell-Phillips,East Robert,12051.21,12303.609999999999,0,Saturday,15,Medium
TXN-000029,Megan Orr,richard04@example.com,2026-05-07,22:16:04,38.89,WITHDRAWAL,"Lawson, Morris and Ramos",New Thomas,1874.66,1835.77,0,Thursday,22,Micro
TXN-000030,Rebecca Jackson,campbellelizabeth@example.net,2026-05-19,03:37:57,125.37,WITHDRAWAL,Chambers and Sons,East Andrew,12878.54,12753.17,0,Tuesday,3,Small
TXN-000031,John Atkinson,gibsonolivia@example.net,2026-05-05,14:01:36,55.75,WITHDRAWAL,"Cruz, Ross and Hernandez",Port Michelleville,2256.37,2200.62,0,Tuesday,14,Small
TXN-000032,Colleen Brock,pwilliams@example.org,2026-05-31,03:52:16,29.77,PURCHASE,Contreras-Travis,Stephaniemouth,495.56,465.79,0,Sunday,3,Micro
TXN-000033,Michelle Wagner,vmerritt@example.com,2026-05-30,05:46:55,202.86,TRANSFER,Larsen LLC,Simsview,22796.45,22593.59,0,Saturday,5,Medium
TXN-000034,Micheal Young,luis81@example.org,2026-05-01,00:50:52,83.76,TRANSFER,Benson-Mccarthy,South Rickside,13430.71,13346.949999999999,0,Friday,0,Small
TXN-000035,Antonio Wall,lstein@example.net,2026-04-18,22:57:05,129.24,DEPOSIT,"James, Smith and Bell",Castanedachester,1132.66,1261.9,0,Saturday,22,Small
TXN-000036,Morgan Marsh,tracynelson@example.com,2026-04-19,02:21:26,129.2,PAYMENT,Caldwell-Yates,Port Tanner,29943.12,30072.32,0,Sunday,2,Small
TXN-000037,Marcus Johnson,qvargas@example.org,2026-04-25,15:06:07,86.85,WITHDRAWAL,Taylor-Murray,West Nicholasborough,31162.34,31075.49,0,Saturday,15,Small
TXN-000038,George Hobbs,karen64@example.org,2026-06-01,18:34:43,6.56,PURCHASE,"Ryan, Cooke and Bell",Port Susanton,10227.69,10221.130000000001,0,Monday,18,Micro
TXN-000039,Tiffany Gonzalez,howelljohn@example.com,2026-06-20,03:57:44,98.2,PURCHASE,"Gould, Marshall and Scott",Garyville,1903.57,1805.37,0,Saturday,3,Small
TXN-000040,Carla Collins,hickmanbarbara@example.com,2026-05-25,18:53:04,98.67,DEPOSIT,Jones Ltd,North Heidi,151.21,249.88,0,Monday,18,Small
TXN-000041,Michael Trujillo,reedross@example.com,2026-04-23,17:22:03,72.26,TRANSFER,"Peterson, Atkinson and Short",South Susanmouth,5093.24,5020.98,0,Thursday,17,Small
TXN-000042,Jessica Gross,christina87@example.com,2026-05-29,17:52:27,394.61,PAYMENT,"Vargas, Morris and Sanchez",West Nicolebury,1370.04,1764.65,0,Friday,17,Medium
TXN-000043,Laura Barnett,anthony52@example.com,2026-05-07,05:20:03,40.11,WITHDRAWAL,Peterson-Beard,Angelahaven,1404.4,1364.2900000000002,0,Thursday,5,Micro
TXN-000044,Angela Cortez,ppeters@example.net,2026-06-02,00:05:05,224.84,DEPOSIT,"Henry, Mcguire and Davis",South Heather,4881.1,5105.9400000000005,0,Tuesday,0,Medium
TXN-000045,Kevin Kennedy,ronald85@example.com,2026-06-24,21:35:39,53.0,DEPOSIT,Parker-Hall,West David,6437.54,6490.54,0,Wednesday,21,Small
TXN-000046,Pamela Lopez,joannahill@example.net,2026-06-29,22:04:57,99.19,TRANSFER,"Campbell, Garcia and Lee",West Harry,12745.93,12646.74,0,Monday,22,Small
TXN-000047,Joseph Hill,tranheidi@example.org,2026-06-17,18:01:21,44.61,PAYMENT,Garcia-Smith,Taylormouth,1823.49,1868.1,0,Wednesday,18,Micro
TXN-000048,Vincent King,ewilson@example.com,2026-06-03,07:44:11,60.82,PAYMENT,"Soto, Brown and Hernandez",Christopherbury,331.86,392.68,0,Wednesday,7,Small
TXN-000049,Phillip Obrien,kimberlyjames@example.com,2026-05-15,20:55:03,121.04,PAYMENT,Torres-Oliver,Port Jaredborough,4409.79,4530.83,0,Friday,20,Small
TXN-000050,Brad Allen,moorericky@example.net,2026-06-13,17:42:44,90.48,TRANSFER,Johnson-Roberts,Jacquelinemouth,2096.7,2006.2199999999998,0,Saturday,17,Small
TXN-000051,David Baker,ronaldstephens@example.net,2026-05-01,07:56:29,21.86,TRANSFER,Jones and Sons,Brookeshire,1586.1,1564.24,0,Friday,7,Micro
TXN-000052,Jessica Harrison,holly48@example.net,2026-06-03,13:20:12,63.9,PURCHASE,George Group,Cassandratown,894.79,830.89,0,Wednesday,13,Small
TXN-000053,Vernon Huff,keyemily@example.com,2026-06-11,23:07:43,76.61,PURCHASE,Ruiz Ltd,Moonburgh,5464.76,5388.150000000001,0,Thursday,23,Small
TXN-000054,Jessica Olsen DVM,vbailey@example.com,2026-06-21,20:15:28,593.59,TRANSFER,Rivera Ltd,Robertsfurt,3873.32,3279.73,0,Sunday,20,Medium
TXN-000055,Krista Gibson,johnny16@example.net,2026-07-06,14:38:13,116.46,DEPOSIT,"Booth, Murray and Brown",Cindyfort,2665.99,2782.45,0,Monday,14,Small
TXN-000056,Olivia Harris,sarakim@example.net,2026-06-03,01:28:59,13.21,DEPOSIT,Dudley PLC,Lake Eric,2864.73,2877.94,0,Wednesday,1,Micro
TXN-000057,Kristen Davis,murraydavid@example.org,2026-06-04,06:32:05,95.61,DEPOSIT,Hicks-Hill,Bairdbury,100000.0,100095.61,0,Thursday,6,Small
TXN-000058,Charles Lee,michellehill@example.com,2026-05-19,19:44:15,74.26,PAYMENT,"Adams, Smith and Barber",Grimesmouth,4685.94,4760.2,0,Tuesday,19,Small
TXN-000059,Haley Arnold,ugibson@example.org,2026-06-23,13:03:20,86.95,PURCHASE,"Reyes, Chase and Jenkins",Juliefurt,516.45,429.50000000000006,0,Tuesday,13,Small
TXN-000060,Matthew Hoover,tylerjohnson@example.net,2026-06-13,18:33:13,282.26,PURCHASE,Sawyer Group,New Reneetown,9208.66,8926.4,0,Saturday,18,Medium
TXN-000061,Jennifer Pena,charlesharrington@example.com,2026-05-19,04:42:51,198.55,PAYMENT,"Sanders, Miller and Murphy",Finleyfort,761.98,960.53,0,Tuesday,4,Small
TXN-000062,Amanda Jones,wendy16@example.org,2026-06-29,21:18:15,366.06,WITHDRAWAL,"Brennan, Wallace and Benson",North Markton,364.03,-2.0300000000000296,0,Monday,21,Medium
TXN-000063,James Thomas,yknight@example.org,2026-05-03,08:56:21,161.88,DEPOSIT,Lynch Group,South Roberta,79672.79,79834.67,0,Sunday,8,Small
TXN-000064,Joel King,elizabeth74@example.net,2026-06-09,12:07:53,33.43,PURCHASE,Alexander LLC,Daniellechester,1274.81,1241.3799999999999,0,Tuesday,12,Micro
TXN-000065,Joyce Turner,gcastaneda@example.org,2026-05-24,05:10:36,99.45,WITHDRAWAL,Andrews-Haney,Andrewfurt,1400.78,1301.33,0,Sunday,5,Small
TXN-000066,Keith Jennings,lozanojulie@example.com,2026-07-01,18:37:33,19.09,TRANSFER,Lawson LLC,Lake James,3303.85,3284.7599999999998,0,Wednesday,18,Micro
TXN-000067,Perry Saunders,courtneyberger@example.net,2026-04-20,13:38:24,31.12,PURCHASE,Johnson-Diaz,North Renee,6065.6,6034.4800000000005,0,Monday,13,Micro
TXN-000068,Jason Gonzalez,alyssa42@example.com,2026-07-14,18:38:05,35.89,WITHDRAWAL,Coffey-Phillips,Lindamouth,30482.3,30446.41,0,Tuesday,18,Micro
TXN-000069,Brenda Levy,zcoffey@example.net,2026-05-22,11:45:42,41.13,PAYMENT,Smith-Herrera,Richardsonview,1838.87,1880.0,0,Friday,11,Micro
TXN-000070,Samantha Bentley,leonardthomas@example.net,2026-07-11,20:32:50,203.06,TRANSFER,Herman-Walker,Lake Madisonport,470.46,267.4,0,Saturday,20,Medium
TXN-000071,Audrey Williams,torrestravis@example.org,2026-05-09,19:02:25,113.01,TRANSFER,Price LLC,Matthewsberg,21177.91,21064.9,0,Saturday,19,Small
TXN-000072,Mary Bass,rcrosby@example.org,2026-06-23,13:43:58,18.04,PAYMENT,Ramos and Sons,Corystad,3932.19,3950.23,0,Tuesday,13,Micro
TXN-000073,Vanessa Howard,hhill@example.com,2026-04-25,04:57:09,116.73,PAYMENT,May PLC,North Kristinbury,9630.92,9747.65,0,Saturday,4,Small
